Date,Open,High,Low,Close,Adj Close,Volume
2020-03-10,0.035512,0.038486,0.033232,0.034855,0.034855,15604
2020-03-11,0.034854,0.037420,0.033496,0.036946,0.036946,13909
2020-03-12,0.036942,0.036950,0.022100,0.022203,0.022203,7012
2020-03-13,0.022197,0.026605,0.018356,0.024933,0.024933,9616
2020-03-14,0.025082,0.025984,0.021651,0.023838,0.023838,5410
2020-03-15,0.023838,0.030795,0.022118,0.029962,0.029962,6709
2020-03-16,0.029957,0.031354,0.021223,0.028380,0.028380,9204
2020-03-17,0.028488,0.033180,0.024474,0.028473,0.028473,7473
2020-03-18,0.028345,0.044095,0.026824,0.033695,0.033695,13579
2020-03-19,0.033607,0.048134,0.032883,0.040696,0.040696,14959
2020-03-20,0.040681,0.049712,0.033898,0.038397,0.038397,14301
2020-03-21,0.038477,0.044599,0.034352,0.039770,0.039770,17019
2020-03-22,0.040063,0.044596,0.037165,0.037466,0.037466,13569
2020-03-23,0.037466,0.044430,0.035973,0.038740,0.038740,17472
2020-03-24,0.038740,0.047494,0.038708,0.041265,0.041265,13299
2020-03-25,0.041265,0.049319,0.039473,0.042569,0.042569,15224
2020-03-26,0.042569,0.047409,0.039934,0.043598,0.043598,21376
2020-03-27,0.043625,0.049215,0.041480,0.044340,0.044340,9935
2020-03-28,0.044413,0.045772,0.038946,0.039495,0.039495,11979
2020-03-29,0.039495,0.045225,0.035697,0.039832,0.039832,11305
2020-03-30,0.039562,0.044206,0.037189,0.041455,0.041455,14831
2020-03-31,0.041341,0.044399,0.039629,0.039970,0.039970,8308
2020-04-01,0.039970,0.046045,0.038256,0.046018,0.046018,16077
2020-04-02,0.045995,0.047505,0.042030,0.043725,0.043725,10930
2020-04-03,0.043710,0.046642,0.039278,0.044704,0.044704,6200
2020-04-04,0.044704,0.047200,0.041130,0.045168,0.045168,12359
2020-04-05,0.045197,0.047943,0.042072,0.042694,0.042694,18328
2020-04-06,0.042687,0.052762,0.042646,0.052762,0.052762,21234
2020-04-07,0.052904,0.054652,0.046571,0.049387,0.049387,18365
2020-04-08,0.049358,0.052511,0.047486,0.049476,0.049476,16282
2020-04-09,0.049437,0.054053,0.047424,0.052818,0.052818,13603
2020-04-10,0.050940,0.052368,0.045257,0.049301,0.049301,15261
2020-04-11,0.049301,0.050963,0.045360,0.046249,0.046249,16912
2020-04-12,0.046250,0.049203,0.045610,0.047735,0.047735,12746
2020-04-13,0.047683,0.047683,0.042410,0.042679,0.042679,5357
2020-04-14,0.042701,0.047587,0.041081,0.047430,0.047430,14295
2020-04-15,0.047396,0.048212,0.044314,0.044546,0.044546,8369
2020-04-16,0.044546,0.049018,0.042625,0.048613,0.048613,16941
2020-04-17,0.048634,0.049447,0.046556,0.047268,0.047268,20645
2020-04-18,0.047295,0.048845,0.045453,0.048321,0.048321,19486
2020-04-19,0.048297,0.049894,0.045678,0.046822,0.046822,16418
2020-04-20,0.046820,0.048852,0.044275,0.045791,0.045791,17371
2020-04-21,0.045792,0.046742,0.043176,0.043338,0.043338,11435
2020-04-22,0.043338,0.048112,0.042960,0.045708,0.045708,15302
2020-04-23,0.046059,0.050770,0.045394,0.049911,0.049911,13691
2020-04-24,0.049907,0.051279,0.048065,0.050081,0.050081,15956
2020-04-25,0.050083,0.051810,0.046988,0.046988,0.046988,11192
2020-04-26,0.046989,0.049808,0.041919,0.045449,0.045449,15626
2020-04-27,0.045533,0.050693,0.040444,0.040640,0.040640,8097
2020-04-28,0.040560,0.051278,0.040560,0.043702,0.043702,16571
2020-04-29,0.043672,0.053169,0.042076,0.052666,0.052666,14359
2020-04-30,0.052560,0.057985,0.045063,0.057606,0.057606,5975
2020-05-01,0.057606,0.059771,0.044397,0.057083,0.057083,6892
2020-05-02,0.057093,0.061273,0.036300,0.049629,0.049629,5749
2020-05-03,0.049672,0.062552,0.039792,0.044660,0.044660,4697
2020-05-04,0.044672,0.059455,0.040093,0.057028,0.057028,8647
2020-05-05,0.057005,0.061790,0.040955,0.051824,0.051824,16323
2020-05-06,0.051789,0.058386,0.047816,0.052125,0.052125,7994
2020-05-07,0.052080,0.062828,0.043118,0.055903,0.055903,13919
2020-05-08,0.055903,0.070524,0.050214,0.063320,0.063320,13226
2020-05-09,0.063406,0.066454,0.044921,0.054605,0.054605,6307
2020-05-10,0.054555,0.054571,0.041691,0.046462,0.046462,8581
2020-05-11,0.046495,0.051019,0.038922,0.040169,0.040169,6317
2020-05-12,0.040185,0.048384,0.039429,0.044848,0.044848,20420
2020-05-13,0.044848,0.048649,0.043789,0.045249,0.045249,12864
2020-05-14,0.045064,0.051445,0.044192,0.051223,0.051223,18913
2020-05-15,0.051204,0.051375,0.045946,0.046858,0.046858,12595
2020-05-16,0.046841,0.049116,0.043958,0.043971,0.043971,10380
2020-05-17,0.043971,0.051007,0.043864,0.044777,0.044777,13214
2020-05-18,0.044775,0.049475,0.044775,0.049475,0.049475,19012
2020-05-19,0.049453,0.049608,0.044348,0.045520,0.045520,13105
2020-05-20,0.045549,0.047349,0.041775,0.042513,0.042513,13079
2020-05-21,0.042515,0.043566,0.040126,0.040917,0.040917,15479
2020-05-22,0.040910,0.042341,0.040672,0.042119,0.042119,9826
2020-05-23,0.042083,0.050271,0.041914,0.047675,0.047675,17725
2020-05-24,0.047675,0.049444,0.042728,0.043946,0.043946,17463
2020-05-25,0.043393,0.046467,0.041973,0.045675,0.045675,15668
2020-05-26,0.045656,0.047795,0.042493,0.043712,0.043712,14280
2020-05-27,0.043712,0.047555,0.043550,0.046060,0.046060,12292
2020-05-28,0.046058,0.049370,0.042626,0.044458,0.044458,17210
2020-05-29,0.044459,0.045797,0.042745,0.044429,0.044429,13126
2020-05-30,0.044429,0.045271,0.042894,0.044684,0.044684,18114
2020-05-31,0.044684,0.045232,0.043193,0.044107,0.044107,16686
2020-06-01,0.044111,0.047339,0.043366,0.047240,0.047240,13076
2020-06-02,0.047176,0.047742,0.043430,0.044920,0.044920,11249
2020-06-03,0.044871,0.050634,0.043809,0.046484,0.046484,13025
2020-06-04,0.046492,0.051533,0.045496,0.045576,0.045576,11354
2020-06-05,0.045499,0.050663,0.044136,0.050430,0.050430,8966
2020-06-06,0.050430,0.050623,0.043851,0.048591,0.048591,11661
2020-06-07,0.048594,0.049928,0.044890,0.047239,0.047239,21156
2020-06-08,0.047241,0.049458,0.046834,0.049087,0.049087,15756
2020-06-09,0.049052,0.049810,0.046966,0.049649,0.049649,11477
2020-06-10,0.049686,0.051838,0.047216,0.051592,0.051592,11827
2020-06-11,0.051592,0.051757,0.046550,0.048488,0.048488,7618
2020-06-12,0.048430,0.049564,0.045796,0.046303,0.046303,9548
2020-06-13,0.046319,0.049141,0.043456,0.045462,0.045462,10731
2020-06-14,0.045455,0.049976,0.043592,0.047870,0.047870,10484
2020-06-15,0.047871,0.048030,0.043247,0.045066,0.045066,8651
2020-06-16,0.045145,0.049730,0.043520,0.046910,0.046910,11293
2020-06-17,0.047026,0.048505,0.043131,0.045480,0.045480,18724
2020-06-18,0.045548,0.047401,0.043321,0.044962,0.044962,20770
2020-06-19,0.045052,0.046673,0.042789,0.045651,0.045651,19626
2020-06-20,0.045651,0.046449,0.041821,0.042720,0.042720,14809
2020-06-21,0.042844,0.043679,0.041002,0.042840,0.042840,14798
2020-06-22,0.042825,0.046939,0.040190,0.040939,0.040939,16341
2020-06-23,0.040963,0.041808,0.040369,0.040524,0.040524,15256
2020-06-24,0.040782,0.041285,0.038891,0.039793,0.039793,17109
2020-06-25,0.039461,0.040156,0.038857,0.039381,0.039381,17812
2020-06-26,0.039458,0.040068,0.038889,0.039437,0.039437,18161
2020-06-27,0.039374,0.040219,0.038978,0.039925,0.039925,15459
2020-06-28,0.039925,0.040127,0.038920,0.039606,0.039606,19263
2020-06-29,0.039606,0.040374,0.038855,0.039957,0.039957,18656
